Dates,Assigned,Completed,Percent,Date,Pct
2026-02-02,11.0,5.0,45.45%,2026-02-02,45.45454545454545
2026-02-03,10.0,9.0,90%,2026-02-03,90.0
2026-02-04,10.0,3.0,30%,2026-02-04,30.0
2026-02-05,10.0,10.0,100%,2026-02-05,100.0
2026-02-06,9.0,2.0,22.22%,2026-02-06,22.22222222222222
2026-02-07,11.0,0.0,0%,2026-02-07,0.0
2026-02-09,11.0,1.0,9.09%,2026-02-09,9.090909090909092
2026-02-10,10.0,10.0,100%,2026-02-10,100.0
2026-02-11,10.0,3.0,30%,2026-02-11,30.0
2026-02-12,9.0,6.0,66.67%,2026-02-12,66.66666666666666
2026-02-13,9.0,0.0,0%,2026-02-13,0.0
2026-02-14,11.0,8.0,72.73%,2026-02-14,72.72727272727273
2026-02-16,11.0,0.0,0%,2026-02-16,0.0
2026-02-17,11.0,7.0,63.64%,2026-02-17,63.63636363636363
2026-02-18,10.0,0.0,0%,2026-02-18,0.0
2026-02-19,10.0,9.0,90%,2026-02-19,90.0
2026-02-20,9.0,0.0,0%,2026-02-20,0.0
2026-02-21,11.0,0.0,0%,2026-02-21,0.0
2026-02-22,2.0,0.0,0%,2026-02-22,0.0
2026-02-23,11.0,0.0,0%,2026-02-23,0.0
2026-02-24,10.0,10.0,100%,2026-02-24,100.0
2026-02-25,10.0,1.0,10%,2026-02-25,10.0
2026-02-26,10.0,10.0,100%,2026-02-26,100.0
2026-02-27,9.0,0.0,0%,2026-02-27,0.0
2026-02-28,11.0,8.0,72.73%,2026-02-28,72.72727272727273
2026-03-01,2.0,0.0,0%,2026-03-01,0.0
2026-03-02,9.0,0.0,0%,2026-03-02,0.0
2026-03-03,10.0,5.0,50%,2026-03-03,50.0
2026-03-04,10.0,0.0,0%,2026-03-04,0.0
2026-03-05,10.0,4.0,40%,2026-03-05,40.0
2026-03-06,11.0,0.0,0%,2026-03-06,0.0
2026-03-07,11.0,10.0,90.91%,2026-03-07,90.9090909090909
2026-03-08,2.0,0.0,0%,2026-03-08,0.0
2026-03-09,9.0,4.0,44.44%,2026-03-09,44.44444444444444
2026-03-10,10.0,0.0,0%,2026-03-10,0.0
2026-03-11,9.0,7.0,77.78%,2026-03-11,77.77777777777779
2026-03-12,10.0,10.0,100%,2026-03-12,100.0
2026-03-13,11.0,0.0,0%,2026-03-13,0.0
2026-03-14,11.0,7.0,63.64%,2026-03-14,63.63636363636363
2026-03-16,9.0,2.0,22.22%,2026-03-16,22.22222222222222
2026-03-17,10.0,9.0,90%,2026-03-17,90.0
2026-03-18,9.0,4.0,44.44%,2026-03-18,44.44444444444444
2026-03-19,10.0,0.0,0%,2026-03-19,0.0
2026-03-20,11.0,1.0,9.09%,2026-03-20,9.090909090909092
2026-03-21,11.0,0.0,0%,2026-03-21,0.0
2026-03-23,9.0,2.0,22.22%,2026-03-23,22.22222222222222
