Dates,Assigned,Completed,Percent,Date,Pct
2026-02-02,11.0,5.0,45.45%,2026-02-02,45.45454545454545
2026-02-03,10.0,9.0,90%,2026-02-03,90.0
2026-02-04,10.0,3.0,30%,2026-02-04,30.0
2026-02-05,10.0,10.0,100%,2026-02-05,100.0
2026-02-06,9.0,2.0,22.22%,2026-02-06,22.22222222222222
2026-02-07,11.0,0.0,0%,2026-02-07,0.0
2026-02-09,11.0,1.0,9.09%,2026-02-09,9.090909090909092
2026-02-10,10.0,10.0,100%,2026-02-10,100.0
2026-02-11,10.0,3.0,30%,2026-02-11,30.0
2026-02-12,9.0,6.0,66.67%,2026-02-12,66.66666666666666
2026-02-13,9.0,0.0,0%,2026-02-13,0.0
2026-02-14,11.0,8.0,72.73%,2026-02-14,72.72727272727273
2026-02-16,11.0,0.0,0%,2026-02-16,0.0
2026-02-17,11.0,7.0,63.64%,2026-02-17,63.63636363636363
2026-02-18,10.0,0.0,0%,2026-02-18,0.0
2026-02-19,10.0,9.0,90%,2026-02-19,90.0
2026-02-20,9.0,0.0,0%,2026-02-20,0.0
2026-02-21,11.0,0.0,0%,2026-02-21,0.0
2026-02-22,2.0,0.0,0%,2026-02-22,0.0
2026-02-23,13.0,12.0,92.31%,2026-02-23,92.3076923076923
2026-02-24,13.0,12.0,92.31%,2026-02-24,92.3076923076923
2026-02-25,16.0,0.0,0%,2026-02-25,0.0
2026-02-26,16.0,0.0,0%,2026-02-26,0.0
2026-02-27,9.0,0.0,0%,2026-02-27,0.0
2026-02-28,11.0,8.0,72.73%,2026-02-28,72.72727272727273
2026-03-01,2.0,0.0,0%,2026-03-01,0.0
2026-03-02,15.0,13.0,86.67%,2026-03-02,86.66666666666667
2026-03-03,10.0,5.0,50%,2026-03-03,50.0
2026-03-04,15.0,9.0,60%,2026-03-04,60.0
2026-03-05,7.0,5.0,71.43%,2026-03-05,71.42857142857143
2026-03-06,14.0,13.0,92.86%,2026-03-06,92.85714285714286
2026-03-07,11.0,10.0,90.91%,2026-03-07,90.9090909090909
2026-03-08,2.0,0.0,0%,2026-03-08,0.0
2026-03-09,16.0,13.0,81.25%,2026-03-09,81.25
2026-03-10,10.0,0.0,0%,2026-03-10,0.0
2026-03-11,15.0,14.0,93.33%,2026-03-11,93.33333333333333
2026-03-12,7.0,6.0,85.71%,2026-03-12,85.71428571428571
2026-03-13,14.0,11.0,78.57%,2026-03-13,78.57142857142857
2026-03-14,11.0,7.0,63.64%,2026-03-14,63.63636363636363
2026-03-16,16.0,13.0,81.25%,2026-03-16,81.25
2026-03-17,10.0,9.0,90%,2026-03-17,90.0
2026-03-18,15.0,14.0,93.33%,2026-03-18,93.33333333333333
2026-03-19,7.0,5.0,71.43%,2026-03-19,71.42857142857143
2026-03-20,14.0,13.0,92.86%,2026-03-20,92.85714285714286
2026-03-21,11.0,0.0,0%,2026-03-21,0.0
2026-03-23,16.0,0.0,0%,2026-03-23,0.0
2026-03-25,15.0,13.0,86.67%,2026-03-25,86.66666666666667
2026-03-26,11.0,9.0,81.82%,2026-03-26,81.81818181818183
2026-03-27,14.0,13.0,92.86%,2026-03-27,92.85714285714286
2026-03-30,16.0,0.0,0%,2026-03-30,0.0
